LineNumber Seconds Frequency,Hz
104 55,756 2554,95044
105 56,296 2554,94653
106 56,834 2554,95068
107 57,376 2554,95337
108 57,909 2554,95459
109 58,446 2554,94824
110 58,985 2554,95142
111 59,519 2554,94995
112 60,047 2554,95361
113 60,579 2554,95166
114 61,109 2554,95532
115 61,642 2554,95483
116 62,179 2554,95386
117 62,719 2554,94751
118 63,261 2554,95020
119 63,798 2554,95215
120 64,329 2554,95020
121 64,863 2385,63745
122 65,396 2385,64185
123 65,929 2385,63330
124 66,468 2385,63574
125 67,014 2385,63623
126 67,551 2385,63745
127 68,085 2385,63232
128 68,628 2385,63672
129 69,157 2385,63379
130 69,692 2385,63208
131 70,223 2385,64209
132 70,755 2385,63574
133 71,284 2385,63843
134 71,816 2385,63672
135 72,351 2385,63916
136 72,899 2385,62817
137 73,443 2385,63208
138 73,986 2385,63843
139 74,517 2385,63623
140 75,046 2385,63745
141 75,586 2385,63721
142 76,126 2385,63501
143 76,662 2385,63574
144 77,216 2385,63574
145 77,758 2237,36816
146 78,306 2237,37207
147 78,849 2237,36108
148 79,382 2237,36157
149 79,935 2237,36646
150 80,471 2237,36133
151 81,010 2237,36670
152 81,551 2237,36475
153 82,078 2237,37109
154 82,613 2237,36084
155 83,142 2237,36572
156 83,678 2237,36694
157 84,223 2237,36987
158 84,749 2237,36426
159 85,295 2237,36401
160 85,842 2237,36401
161 86,382 2237,36157
162 86,934 2237,36841
163 87,470 2237,36353
164 88,007 2237,36353
165 88,560 2237,36328
166 89,099 2237,36133
167 89,637 2237,35913
168 90,182 2237,36353
169 90,734 2106,45386
170 91,270 2106,45605
171 91,807 2106,45898
172 92,355 2106,45142
173 92,902 2106,44873
174 93,439 2106,46021
175 93,979 2106,44897
176 94,528 2106,46021
177 95,063 2106,45410
178 95,597 2106,45239
179 96,136 2106,45459
180 96,674 2106,45825
181 97,208 2106,44995
182 97,761 2106,45435
183 98,303 2106,45435
184 98,858 2106,45288
185 99,397 2106,45483
186 99,950 2106,45313
187 100,492 2106,45410
188 101,040 2106,45435
189 101,585 2106,45215
190 102,132 2106,45117
191 102,682 2106,45288
192 103,221 2106,45605
193 103,761 1991,02051
194 104,311 1990,00854
195 104,848 1990,01001
196 105,384 1990,01025
197 105,932 1990,00781
198 106,481 1990,00854
199 107,018 1990,01233
200 107,550 1990,00720
201 108,083 1990,00659
202 108,613 1990,01038
203 109,149 1990,01343
204 109,701 1990,01111
205 110,243 1990,01062
206 110,792 1990,01233
207 111,337 1990,00781
208 111,877 1990,00806
209 112,406 1990,01111
210 112,949 1990,00610
211 113,495 1990,00867
212 114,040 1990,01196
213 114,584 1990,01025
214 115,124 1990,00977
215 115,656 1990,01025
216 116,192 1990,00745
217 116,725 1885,75928
218 117,279 1885,76282
219 117,826 1885,76624
220 118,370 1885,76318
221 118,920 1885,76477
222 119,454 1885,76379
223 119,987 1885,76489
224 120,519 1885,76416
225 121,059 1885,76355
226 121,597 1885,76147
227 122,126 1885,76453
228 122,657 1885,76294
229 123,188 1885,76392
230 123,720 1885,76184
231 124,254 1885,76355
232 124,791 1885,76660
233 125,332 1885,76343
234 125,869 1885,76160
235 126,408 1885,76123
236 126,950 1885,76111
237 127,498 1885,76294
238 128,046 1885,76184
239 128,592 1885,76489
240 129,138 1885,76184
241 129,678 1791,90356
242 130,227 1791,90564
243 130,775 1791,88599
244 131,320 1791,91296
245 131,870 1791,91003
246 132,420 1791,89868
247 132,965 1791,90576
248 133,511 1791,89844
249 134,047 1791,89575
250 134,579 1791,90356
251 135,110 1791,90112
252 135,647 1791,89990
253 136,195 1791,90857
254 136,738 1791,90784
255 137,269 1791,90210
256 137,807 1791,90332
257 138,344 1791,90442
258 138,887 1791,90173
259 139,434 1791,90076
260 139,981 1791,88940
261 140,516 1791,89539
262 141,047 1791,89673
263 141,584 1791,89966
264 142,114 1791,89844
265 142,651 1791,46326
266 143,198 1706,93909
267 143,739 1706,93872
268 144,278 1706,93640
269 144,828 1706,94055
270 145,373 1706,94092
271 145,921 1706,93579
272 146,452 1706,93909
273 146,987 1706,93774
274 147,517 1706,93604
275 148,061 1706,93848
276 148,609 1706,93628
277 149,154 1706,93567
278 149,700 1706,93872
279 150,247 1706,93994
280 150,791 1706,93445
281 151,342 1706,93713
282 151,884 1706,93787
283 152,436 1706,93665
284 152,973 1706,93933
285 153,514 1706,93665
286 154,050 1706,93628
287 154,593 1706,94006
288 155,133 1706,93787
289 155,671 1704,50500
290 156,209 1629,66504
291 156,760 1629,66589
292 157,308 1629,66736
293 157,843 1629,66541
294 158,376 1629,66760
295 158,920 1629,66699
296 159,463 1629,66479
297 160,013 1629,66638
298 160,559 1629,66284
299 161,101 1629,66516
300 161,652 1629,66528
301 162,198 1629,66284
302 162,745 1629,66663
303 163,294 1629,66528
304 163,830 1629,66589
305 164,370 1629,66736
306 164,917 1629,66663
307 165,461 1629,66125
308 166,006 1629,66370
309 166,552 1629,66357
310 167,082 1629,66528
311 167,616 1629,66443
312 168,170 1629,66418
313 168,712 1629,67029
314 169,264 1559,08423
315 169,809 1559,08655
316 170,356 1559,08594
317 170,901 1559,08447
318 171,446 1559,08362
319 171,993 1559,08350
320 172,543 1559,08289
321 173,093 1559,08435
322 173,637 1559,08423
323 174,186 1559,08435
324 174,730 1559,08447
325 175,274 1559,08423
326 175,824 1559,08679
327 176,361 1559,08472
328 176,901 1559,08630
329 177,439 1559,08630
330 177,969 1559,08618
331 178,508 1559,08606
332 179,053 1559,08643
333 179,599 1559,08899
334 180,153 1559,08691
335 180,687 1559,08618
336 181,225 1559,08374
337 181,772 1496,53821
338 182,315 1494,36438
339 182,845 1494,36499
340 183,382 1494,36670
341 183,937 1494,36523
342 184,468 1494,36340
343 185,001 1494,36438
344 185,532 1494,36377
345 186,065 1494,36328
346 186,603 1494,36511
347 187,140 1494,36438
348 187,684 1494,36450
349 188,218 1494,36609
350 188,755 1494,36145
351 189,290 1494,36450
352 189,830 1494,36316
353 190,361 1494,36829
354 190,890 1494,36243
355 191,424 1494,36243
356 191,958 1494,36487
357 192,490 1494,36353
358 193,038 1494,36658
359 193,580 1494,36584
360 194,120 1494,36426
361 194,673 1493,75867
362 195,208 1434,80774
363 195,738 1434,80603
364 196,267 1434,80737
365 196,811 1434,80664
366 197,348 1434,80701
367 197,887 1434,80347
368 198,425 1434,80640
369 198,953 1434,80688
370 199,498 1434,80750
371 200,034 1434,80762
372 200,565 1434,80847
373 201,095 1434,80505
374 201,629 1434,80603
375 202,168 1434,80676
376 202,703 1434,80762
377 203,247 1434,80444
378 203,781 1434,80725
379 204,315 1434,80579
380 204,851 1434,80774
381 205,397 1434,80798
382 205,945 1434,80737
383 206,487 1434,80579
384 207,016 1434,80579
385 207,551 1434,80884
386 208,083 1379,81226
387 208,616 1379,81104
388 209,166 1379,81018
389 209,709 1379,81262
390 210,250 1379,81201
391 210,785 1379,81079
392 211,322 1379,81128
393 211,863 1379,81104
394 212,391 1379,81360
395 212,925 1379,81018
396 213,465 1379,81384
397 214,001 1379,81067
398 214,531 1379,81274
399 215,068 1379,81250
400 215,595 1379,81189
401 216,126 1379,81165
402 216,668 1379,81006
403 217,203 1379,81238
404 217,743 1379,81262
405 218,291 1379,81299
406 218,830 1379,81140
407 219,366 1379,81177
408 219,908 1379,81140
409 220,442 1379,81177
410 220,970 1328,87524
411 221,514 1328,87524
412 222,053 1328,87354
413 222,602 1328,87646
414 223,146 1328,87744
415 223,675 1328,87634
416 224,204 1328,87854
417 224,737 1328,87756
418 225,278 1328,87744
419 225,822 1328,87793
420 226,362 1328,87805
421 226,893 1328,87524
422 227,428 1328,87524
423 227,974 1328,87573
424 228,515 1328,87708
425 229,051 1328,87708
426 229,586 1328,87695
427 230,136 1328,87842
428 230,682 1328,87683
429 231,219 1328,87634
430 231,762 1328,87744
431 232,298 1328,87732
432 232,839 1328,87329
433 233,389 1328,87610
434 233,923 1281,76306
435 234,468 1281,56897
436 235,015 1281,56799
437 235,550 1281,56677
438 236,079 1281,56592
439 236,611 1281,56750
440 237,142 1281,56812
441 237,672 1281,56812
442 238,218 1281,56946
443 238,750 1281,56860
444 239,281 1281,56921
445 239,818 1281,56873
446 240,376 1281,56738
447 240,918 1281,56641
448 241,465 1281,56775
449 242,012 1281,56921
450 242,560 1281,56970
451 243,099 1281,56677
452 243,641 1281,56934
453 244,175 1281,56873
454 244,703 1281,56763
455 245,234 1281,56860
456 245,765 1281,56567
457 246,311 1281,56873
458 246,857 1279,78748
459 247,393 1237,51367
460 247,926 1237,51355
461 248,458 1237,51563
462 249,004 1237,51318
463 249,544 1237,51379
464 250,078 1237,51660
465 250,609 1237,51379
466 251,140 1237,51465
467 251,675 1237,51514
468 252,205 1237,51709
469 252,737 1237,51514
470 253,265 1237,51294
471 253,796 1237,51685
472 254,330 1237,51501
473 254,863 1237,51550
474 255,391 1237,51453
475 255,930 1237,51306
476 256,471 1237,51538
477 257,001 1237,51404
478 257,531 1237,51416
479 258,069 1237,51501
480 258,615 1237,51770
481 259,159 1237,51379
482 259,691 1237,51428
483 260,232 1196,38806
484 260,769 1196,38733
485 261,305 1196,38489
486 261,857 1196,38708
487 262,390 1196,38782
488 262,930 1196,38464
489 263,480 1196,38623
490 264,022 1196,38684
491 264,572 1196,38867
492 265,111 1196,38696
493 265,651 1196,38464
494 266,194 1196,38660
495 266,744 1196,38818
496 267,281 1196,38696
497 267,816 1196,38574
498 268,346 1196,38684
499 268,875 1196,38916
500 269,406 1196,38696
501 269,937 1196,38611
502 270,473 1196,38696
503 271,003 1196,38721
504 271,537 1196,38647
505 272,087 1196,38611
506 272,629 1196,38513
507 273,156 1157,90442
508 273,693 1157,90308
509 274,248 1157,90454
510 274,784 1157,90601
511 275,321 1157,90637
512 275,861 1157,90601
513 276,396 1157,90515
514 276,931 1157,90674
515 277,473 1157,90588
516 278,005 1157,90515
517 278,543 1157,90662
518 279,092 1157,90552
519 279,626 1157,90466
520 280,169 1157,90393
521 280,715 1157,90649
522 281,260 1157,90784
523 281,806 1157,90601
524 282,356 1157,90601
525 282,903 1157,90552
526 283,447 1157,90503
527 283,998 1157,90686
528 284,537 1157,90442
529 285,090 1157,90613
530 285,628 1157,90601
531 286,158 1121,82178
532 286,701 1121,82031
533 287,245 1121,82190
534 287,795 1121,82349
535 288,328 1121,82117
536 288,867 1121,82117
537 289,406 1121,82117
538 289,952 1121,82141
539 290,498 1121,82092
540 291,032 1121,82068
541 291,569 1121,82056
542 292,114 1121,82178
543 292,661 1121,82324
544 293,200 1121,82141
545 293,743 1121,82080
546 294,296 1121,82117
547 294,836 1121,82080
548 295,384 1121,82080
549 295,934 1121,82166
550 296,480 1121,82239
551 297,029 1121,82336
552 297,577 1121,81970
553 298,112 1121,82104
554 298,643 1121,82080
555 299,183 1087,92163
556 299,729 1087,92175
557 300,269 1087,92151
558 300,801 1087,92139
559 301,341 1087,92090
560 301,879 1087,92212
561 302,411 1087,92078
562 302,947 1087,92114
563 303,490 1087,92236
564 304,021 1087,92285
565 304,570 1087,92029
566 305,123 1087,92004
567 305,660 1087,92224
568 306,187 1087,92175
569 306,733 1087,92065
570 307,270 1087,92163
571 307,808 1087,91992
572 308,346 1087,92004
573 308,888 1087,92053
574 309,433 1087,92078
575 309,973 1087,91882
576 310,514 1087,91968
577 311,054 1087,92151
578 311,605 1087,92151
579 312,154 1056,12244
580 312,693 1056,00745
581 313,232 1056,00635
582 313,775 1056,00684
583 314,312 1056,00696
584 314,851 1056,00720
585 315,396 1056,00916
586 315,950 1056,00720
587 316,489 1056,00806
588 317,016 1056,00757
589 317,547 1056,00720
590 318,092 1056,00769
591 318,638 1056,00757
592 319,175 1056,00684
593 319,715 1056,00598
594 320,258 1056,00720
595 320,810 1056,00818
596 321,345 1056,00684
597 321,885 1056,00830
598 322,429 1056,00818
599 322,977 1056,00708
600 323,529 1056,00745
601 324,075 1056,00867
602 324,609 1056,00769
603 325,141 1025,91296
604 325,685 1025,91406
605 326,221 1025,91296
606 326,756 1025,91309
607 327,303 1025,91174
608 327,849 1025,91309
609 328,379 1025,91370
610 328,910 1025,91382
611 329,446 1025,91199
612 329,986 1025,91296
613 330,529 1025,91199
614 331,066 1025,91211
615 331,600 1025,91284
616 332,148 1025,91211
617 332,699 1025,91296
618 333,240 1025,91248
619 333,795 1025,91309
620 334,329 1025,91418
621 334,867 1025,91187
622 335,409 1025,91101
623 335,944 1025,91272
624 336,494 1025,91101
625 337,038 1025,91199
626 337,585 1025,91174
627 338,127 997,48517
628 338,659 997,48541
629 339,191 997,48615
630 339,720 997,48553
631 340,263 997,48584
632 340,809 997,48572
633 341,349 997,48517
634 341,882 997,48401
635 342,435 997,48584
636 342,970 997,48529
637 343,508 997,48584
638 344,062 997,48541
639 344,607 997,48560
640 345,142 997,48389
641 345,675 997,48529
642 346,203 997,48486
643 346,744 997,48627
644 347,285 997,48639
645 347,823 997,48584
646 348,359 997,48602
647 348,901 997,48639
648 349,437 997,48553
649 349,969 997,48596
650 350,501 997,48615
651 351,040 997,48529
652 351,591 970,59363
653 352,134 970,59290
654 352,675 970,59314
655 353,213 970,59283
656 353,756 970,59393
657 354,312 970,59381
658 354,857 970,59497
659 355,403 970,59283
660 355,949 970,59222
661 356,494 970,59314
662 357,046 970,59363
663 357,583 970,59283
664 358,114 970,59253
665 358,642 970,59222
666 359,184 970,59314
667 359,728 970,59351
668 360,275 970,59259
669 360,821 970,59271
670 361,369 970,59290
671 361,919 970,59381
672 362,453 970,59393
673 362,987 970,59625
674 363,516 970,59332
675 364,047 969,77576
676 364,591 945,11066
677 365,134 945,10864
678 365,683 945,10962
679 366,243 945,11108
680 366,794 945,11230
681 367,331 945,11145
682 367,865 945,11096
683 368,414 945,10962
684 368,967 945,11084
685 369,505 945,11200
686 370,038 945,11115
687 370,591 945,11084
688 371,124 945,11084
689 371,658 945,11035
690 372,191 945,11243
691 372,722 945,11194
692 373,270 945,11261
693 373,804 945,11047
694 374,346 945,11163
695 374,879 945,11230
696 375,412 945,11279
697 375,939 945,11249
698 376,469 945,11279
699 377,000 945,11066
700 377,532 920,93188
701 378,075 920,93317
702 378,610 920,93298
703 379,145 920,93341
704 379,671 920,93298
705 380,213 920,93414
706 380,757 920,93317
707 381,307 920,93317
708 381,843 920,93414
709 382,378 920,93469
710 382,914 920,93408
711 383,454 920,93341
712 383,985 920,93408
713 384,524 920,93207
714 385,063 920,93262
715 385,607 920,93152
716 386,152 920,93158
717 386,698 920,93304
718 387,245 920,93103
719 387,790 920,93152
720 388,336 920,93225
721 388,881 920,93341
722 389,412 920,93262
723 389,950 920,84070
724 390,485 897,96082
725 391,028 897,96155
726 391,564 897,96057
727 392,095 897,96075
728 392,637 897,96198
729 393,185 897,96216
730 393,720 897,96167
731 394,258 897,96143
732 394,805 897,96246
733 395,347 897,96075
734 395,886 897,96204
735 396,435 897,96204
736 396,980 897,96136
737 397,525 897,96075
738 398,065 897,96075
739 398,593 897,96161
740 399,130 897,96082
741 399,661 897,96124
742 400,202 897,96124
743 400,736 897,96143
744 401,267 897,96143
745 401,810 897,96198
746 402,346 897,96204
747 402,884 897,96082
748 403,435 876,11017
749 403,969 876,10840
750 404,502 876,10834
751 405,034 876,10834
752 405,577 876,10883
753 406,123 876,10815
754 406,665 876,10895
755 407,215 876,10834
756 407,758 876,10840
757 408,309 876,10834
758 408,843 876,10840
759 409,385 876,10809
760 409,931 876,10834
761 410,475 876,10840
762 411,019 876,10858
763 411,552 876,10895
764 412,082 876,10876
765 412,612 876,10858
766 413,141 876,10791
767 413,684 876,10834
768 414,228 876,10815
769 414,774 876,10944
770 415,323 876,10858
771 415,861 876,10907
772 416,394 855,29272
773 416,932 855,29205
774 417,472 855,29327
775 418,002 855,29346
776 418,536 855,29205
777 419,063 855,29272
778 419,596 855,29376
779 420,125 855,29242
780 420,659 855,29242
781 421,202 855,29388
782 421,748 855,29431
783 422,293 855,29260
784 422,830 855,29376
785 423,359 855,29419
786 423,895 855,29297
787 424,430 855,29236
788 424,974 855,29376
789 425,504 855,29352
790 426,039 855,29236
791 426,587 855,29401
792 427,132 855,29419
793 427,685 855,29309
794 428,226 855,29230
795 428,770 855,23669
796 429,300 835,44293
797 429,834 835,44440
798 430,370 835,44446
799 430,910 835,44482
800 431,440 835,44348
801 431,979 835,44293
802 432,515 835,44318
803 433,049 835,44299
804 433,583 835,44391
805 434,120 835,44324
806 434,668 835,44354
807 435,214 835,44324
808 435,764 835,44269
809 436,301 835,44354
810 436,836 835,44452
811 437,375 835,44482
812 437,920 835,44446
813 438,464 835,44403
814 439,010 835,44409
815 439,552 835,44519
816 440,088 835,44580
817 440,626 835,44501
818 441,156 835,44360
819 441,687 835,44379
820 442,225 816,49487
821 442,767 816,49518
822 443,301 816,49542
823 443,829 816,49561
824 444,373 816,49524
825 444,906 816,49512
826 445,442 816,49506
827 445,983 816,49518
828 446,528 816,49481
829 447,068 816,49463
830 447,622 816,49506
831 448,160 816,49487
832 448,695 816,49451
833 449,239 816,49481
834 449,770 816,49469
835 450,301 816,49512
836 450,831 816,49542
837 451,366 816,49463
838 451,912 816,49445
839 452,458 816,49487
840 452,987 816,49487
841 453,520 816,49481
842 454,049 816,49481
843 454,579 816,49536
844 455,117 816,49512
845 455,672 798,38727
846 456,205 798,38788
847 456,746 798,38721
848 457,289 798,38678
849 457,836 798,38763
850 458,375 798,38751
851 458,913 798,38782
852 459,465 798,38745
853 460,001 798,38763
854 460,538 798,38733
855 461,084 798,38733
856 461,630 798,38776
857 462,158 798,38812
858 462,697 798,38824
859 463,239 798,38696
860 463,777 798,38708
861 464,316 798,38721
862 464,845 798,38715
863 465,376 798,38763
864 465,909 798,38727
865 466,444 798,38708
866 466,984 798,38837
867 467,521 798,38831
868 468,063 798,38818
869 468,609 781,06641
870 469,145 781,06500
871 469,684 781,06555
872 470,229 781,06573
873 470,769 781,06610
874 471,305 781,06531
875 471,857 781,06580
876 472,393 781,06653
877 472,934 781,06573
878 473,470 781,06531
879 474,008 781,06641
880 474,558 781,06659
881 475,096 781,06567
882 475,625 781,06543
883 476,158 781,06445
884 476,693 781,06500
885 477,242 781,06476
886 477,782 781,06531
887 478,318 781,06573
888 478,874 781,06604
889 479,408 781,06506
890 479,946 781,06531
891 480,498 781,06488
892 481,034 781,06592
893 481,569 764,50580
894 482,115 764,47815
895 482,661 764,47797
896 483,201 764,47815
897 483,743 764,47772
898 484,294 764,47803
899 484,833 764,47833
900 485,368 764,47797
901 485,918 764,47778
902 486,457 764,47803
903 486,999 764,47809
904 487,534 764,47791
905 488,075 764,47833
906 488,608 764,47803
907 489,142 764,47809
908 489,682 764,47778
909 490,222 764,47803
910 490,755 764,47845
911 491,292 764,47858
912 491,840 764,47821
913 492,386 764,47833
914 492,921 764,47858
915 493,458 764,47858
916 493,998 764,47906
917 494,535 748,58105
918 495,072 748,58160
919 495,609 748,58154
920 496,141 748,58093
921 496,681 748,58142
922 497,234 748,58105
923 497,774 748,58136
924 498,312 748,58173
925 498,847 748,58185
926 499,380 748,58252
927 499,914 748,58142
928 500,468 748,58081
929 501,010 748,58112
930 501,550 748,58105
931 502,088 748,58014
932 502,640 748,58051
933 503,174 748,58130
934 503,706 748,58118
935 504,240 748,58105
936 504,790 748,58081
937 505,328 748,58057
938 505,872 748,58142
939 506,406 748,58191
940 506,946 748,50885
941 507,497 733,33264
942 508,033 733,33185
943 508,568 733,33160
944 509,124 733,33191
945 509,668 733,33228
946 510,215 733,33197
947 510,757 733,33179
948 511,306 733,33197
949 511,848 733,33197
950 512,378 733,33142
951 512,910 733,33136
952 513,442 733,33160
953 513,976 733,33154
954 514,524 733,33185
955 515,074 733,33197
956 515,620 733,33179
957 516,168 733,33197
958 516,714 733,33221
959 517,255 733,33252
960 517,781 733,33228
961 518,327 733,33215
962 518,871 733,33191
963 519,416 733,33173
964 519,962 733,33148
965 520,509 718,69299
966 521,052 718,69275
967 521,585 718,69244
968 522,131 718,69189
969 522,678 718,69189
970 523,219 718,69244
971 523,757 718,69220
972 524,303 718,69263
973 524,847 718,69275
974 525,386 718,69250
975 525,930 718,69244
976 526,477 718,69257
977 527,023 718,69208
978 527,567 718,69189
979 528,096 718,69189
980 528,629 718,69257
981 529,158 718,69263
982 529,701 718,69183
983 530,235 718,69171
984 530,769 718,69208
985 531,297 718,69220
986 531,832 718,69220
987 532,363 718,69220
988 532,893 718,69214
989 533,428 704,75757
990 533,974 704,62439
991 534,519 704,62469
992 535,055 704,62500
993 535,603 704,62518
994 536,141 704,62457
995 536,675 704,62469
996 537,210 704,62518
997 537,755 704,62543
998 538,305 704,62518
999 538,853 704,62469
1000 539,395 704,62500
1001 539,928 704,62518
1002 540,473 704,62482
1003 541,002 704,62518
1004 541,532 704,62585
1005 542,062 704,62561
1006 542,607 704,62476
1007 543,155 704,62500
1008 543,688 704,62457
1009 544,233 704,62457
1010 544,772 704,62463
1011 545,320 704,62451
1012 545,868 704,62500
1013 546,416 691,23663
1014 546,967 691,09845
1015 547,501 691,09808
1016 548,033 691,09845
1017 548,563 691,09796
1018 549,100 691,09796
1019 549,652 691,09778
1020 550,200 691,09851
1021 550,743 691,09778
1022 551,286 691,09747
1023 551,819 691,09796
1024 552,364 691,09814
1025 552,904 691,09747
1026 553,438 691,09711
1027 553,972 691,09747
1028 554,504 691,09778
1029 555,046 691,09778
1030 555,592 691,09747
1031 556,127 691,09778
1032 556,657 691,09814
1033 557,192 691,09784
1034 557,731 691,09766
1035 558,267 691,09796
1036 558,803 691,09863
1037 559,343 690,68365
1038 559,879 678,13525
1039 560,411 678,07916
1040 560,941 678,07922
1041 561,471 678,07959
1042 562,010 678,07996
1043 562,549 678,07996
1044 563,089 678,07990
1045 563,640 678,07983
1046 564,186 678,07996
1047 564,719 678,07996
1048 565,256 678,07996
1049 565,788 678,07990
1050 566,335 678,07983
1051 566,889 678,07990
1052 567,424 678,08020
1053 567,953 678,08020
1054 568,489 678,07996
1055 569,037 678,07983
1056 569,583 678,07996
1057 570,117 678,08032
1058 570,664 678,07996
1059 571,207 678,07971
1060 571,741 678,07965
1061 572,285 678,08002
1062 572,817 665,54498
1063 573,345 665,54541
1064 573,880 665,54559
1065 574,412 665,54535
1066 574,946 665,54352
1067 575,492 665,54364
1068 576,034 665,54382
1069 576,565 665,54419
1070 577,107 665,54510
1071 577,642 665,54535
1072 578,184 665,54431
1073 578,731 665,54346
1074 579,267 665,54364
1075 579,810 665,54425
1076 580,354 665,54382
1077 580,892 665,54462
1078 581,430 665,54535
1079 581,983 665,54449
1080 582,517 665,54395
1081 583,048 665,54309
1082 583,582 665,54315
1083 584,118 665,54395
1084 584,668 665,54462
1085 585,210 665,54492
1086 585,755 653,46332
1087 586,281 653,46350
1088 586,826 653,46313
1089 587,362 653,46295
1090 587,901 653,46436
1091 588,445 653,46417
1092 588,997 653,46423
1093 589,532 653,46399
1094 590,075 653,46338
1095 590,620 653,46320
1096 591,166 653,46423
1097 591,710 653,46411
1098 592,258 653,46271
1099 592,797 653,46271
1100 593,343 653,46313
1101 593,882 653,46301
1102 594,431 653,46283
1103 594,968 653,46332
1104 595,502 653,46313
1105 596,040 653,46277
1106 596,580 653,46307
1107 597,118 653,46307
1108 597,668 653,46283
1109 598,203 653,46301
1110 598,742 641,87769
1111 599,292 641,81299
1112 599,841 641,81311
1113 600,374 641,81305
1114 600,916 641,81293
1115 601,463 641,81274
1116 602,004 641,81293
1117 602,536 641,81317
1118 603,074 641,81281
1119 603,612 641,81287
1120 604,148 641,81256
1121 604,700 641,81299
1122 605,234 641,81268
1123 605,772 641,81287
1124 606,313 641,81287
1125 606,856 641,81293
1126 607,392 641,81293
1127 607,928 641,81293
1128 608,475 641,81329
1129 609,018 641,81256
1130 609,557 641,81256
1131 610,095 641,81226
1132 610,633 641,81262
1133 611,182 641,81305
1134 611,727 630,57080
1135 612,277 630,57098
1136 612,813 630,57043
1137 613,348 630,57031
1138 613,875 630,57037
1139 614,409 630,57062
1140 614,937 630,57062
1141 615,482 630,57007
1142 616,025 630,56995
1143 616,566 630,56995
1144 617,104 630,57007
1145 617,645 630,57080
1146 618,176 630,57050
1147 618,713 630,57062
1148 619,255 630,57062
1149 619,784 630,57117
1150 620,312 630,57062
1151 620,843 630,57080
1152 621,378 630,57111
1153 621,914 630,57166
1154 622,457 630,57086
1155 622,986 630,57086
1156 623,528 630,57068
1157 624,075 630,57111
1158 624,609 619,71832
1159 625,149 619,71606
1160 625,693 619,71594
1161 626,238 619,71509
1162 626,779 619,71564
1163 627,314 619,71625
1164 627,855 619,71600
1165 628,394 619,71576
1166 628,925 619,71643
1167 629,453 619,71576
1168 629,985 619,71594
1169 630,529 619,71588
1170 631,070 619,71558
1171 631,620 619,71564
1172 632,165 619,71582
1173 632,709 619,71594
1174 633,234 619,71558
1175 633,776 619,71558
1176 634,317 619,71600
1177 634,843 619,71564
1178 635,388 619,71564
1179 635,925 619,71643
1180 636,458 619,71613
1181 636,989 619,71649
1182 637,518 619,71606
1183 638,058 609,22864
1184 638,599 609,22821
1185 639,152 609,22827
1186 639,695 609,22809
1187 640,242 609,22815
1188 640,788 609,22821
1189 641,333 609,22815
1190 641,865 609,22772
1191 642,391 609,22760
1192 642,933 609,22760
1193 643,469 609,22760
1194 644,004 609,22784
